id,name,owner,geom,building_type,built_date,replaced_date,built_date_confidence_pct,replaced_date_confidence_pct,source,timewalk_notes,street_address,num_floors,material,roof_type,fire_damage,confidence_notes,house_number,address_generated,building_type_original,building_color,timewalk_id,live_model_id
38,\N,\N,0106000020110F0000010000000103000000010000000500000000000594326D5FC10000187D8FF452410000EB3C346D5FC10000D0F78DF452410000BC43366D5FC10000102E90F452410000D89A346D5FC1000058B391F4524100000594326D5FC10000187D8FF45241,docks,\N,\N,\N,\N,period_defaults_v1,\N,19 Major Alley,1,wood_frame,shed,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",19,t,docks,#4A90D9,tw_1776_01M08HMQZR795D1WBQG36ATDQ3,\N
39,Presbyterian Church,First Presbyterian Church of New York,0106000020110F000001000000010300000001000000070000000000BC74AE6D5FC1000020DAF1F452410000AE1CAD6D5FC1000008AFF0F452410000CE67AC6D5FC10000D011F0F45241000068AFAF6D5FC10000A84BECF4524100006E64B06D5FC1000000E9ECF45241000058BCB16D5FC10000F813EEF452410000BC74AE6D5FC1000020DAF1F45241,residential_wealthy,1719-01-01,\N,\N,\N,landmarks_table,\N,2 Cedar Street / Little Queen - Queen Street,3,brick,hip,destroyed_1776_great_fire,House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Matched to landmarks table via spatial proximity (<50m centroid distance),2,t,commercial_wealthy,#2ECC71,tw_1776_01M08HMQZRAGPGM4T90NSX05XP,\N
40,\N,Kenner Jonathan,0106000020110F0000010000000103000000010000000F0000000000D274D56C5FC10000A05B00F552410000BA34D66C5FC10000801201F55241000033F4D66C5FC1000000C901F55241000062B2D76C5FC10000307E02F5524100004B9AD66C5FC10000887D03F5524100002480D56C5FC10000C87E04F552410000F665D46C5FC10000088005F552410000C184D36C5FC10000784D06F552410000AAD2D06C5FC10000F05803F552410000F7B3D16C5FC10000688B02F552410000AAD4D16C5FC10000986D02F5524100005F9BD16C5FC10000083702F552410000845DD46C5FC100007051FFF4524100005DB5D46C5FC1000020A5FFF452410000D274D56C5FC10000A05B00F55241,residential_middle,\N,\N,\N,\N,1786_NYC_Directory,\N,83 Pearl Street/ Queen Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 152 Pearl Street/ Queen Street. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",83,t,residential_middle,#A8C84A,tw_1776_01M08HMQZRVMHHDKXTRQJDKNR3,\N
44,\N,\N,0106000020110F000001000000010300000001000000050000000000FC99896D5FC10000500E26F5524100003A8A886D5FC10000082A25F55241000090C18B6D5FC10000F85521F55241000052D18C6D5FC10000403A22F552410000FC99896D5FC10000500E26F55241,residential_wealthy,\N,\N,\N,\N,period_defaults_v2_stokes,\N,27 John Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",27,t,residential_middle,#2ECC71,tw_1776_01M08HMQZRPRTYC5AJDEQ10CQ4,\N
45,\N,\N,0106000020110F00000100000001030000000100000009000000000030BC396D5FC1000020E1DEF452410000BCBE386D5FC100008098DDF452410000DE40386D5FC1000038F5DCF45241000070013D6D5FC10000884BD9F4524100001E7F3D6D5FC1000090EED9F4524100001E7E3E6D5FC100003839DBF45241000052FA3E6D5FC1000068DBDBF452410000BE363A6D5FC100003081DFF45241000030BC396D5FC1000020E1DEF45241,residential_wealthy,\N,\N,\N,\N,period_defaults_v2_stokes,\N,24 John Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",24,t,commercial_middle,#2ECC71,tw_1776_01M08HMQZRBTREB4MW2G7R8V5H,\N
46,\N,\N,0106000020110F00000100000001030000000100000007000000000038DB8F6C5FC10000B02334F55241000058998F6C5FC10000F88732F552410000D60A946C5FC10000B8D131F552410000C04C946C5FC10000B06D33F5524100804C7B946C5FC10000989034F552410000CE09906C5FC10000D84635F55241000038DB8F6C5FC10000B02334F55241,industrial,\N,\N,\N,\N,period_defaults_v1,\N,\N,2,wood_frame,gabled,\N,"Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",\N,f,residential_poor,#808080,tw_1776_01M08HMQZR6NDQ20QEVJSFR0B2,\N
47,\N,\N,0106000020110F0000010000000103000000010000000A0000000000CC19C76D5FC1000028B905F552410000B204C66D5FC10000801305F5524100008803C66D5FC10000D01205F552410000786BC96D5FC100002857FFF4524100009422CA6D5FC10000A8C3FFF45241000086E8CA6D5FC10000E03800F552410000DC31CB6D5FC10000486400F55241000094C5C76D5FC10000D01F06F552410000B0B1C76D5FC10000F01306F552410000CC19C76D5FC1000028B905F55241,residential_wealthy,\N,\N,\N,\N,period_defaults_v2_stokes,\N,23 Stone Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",23,t,residential_middle,#2ECC71,tw_1776_01M08HMQZRXRYYS88RG29DAAYH,\N
48,\N,Franklin John,0106000020110F000001000000010300000001000000070000000080882E736C5FC10000786B2BF552410040EF01756C5FC10000F8262BF5524100407FBB756C5FC10000781930F55241000025E8736C5FC10000F05D30F552410080BB37736C5FC10000D07730F552410080F57D726C5FC1000058852BF552410080882E736C5FC10000786B2BF55241,residential_middle,\N,\N,\N,\N,period_defaults_v1; 1786_NYC_Directory,\N,13 Cherry Street,3,brick,hip,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 35 Cherry Street. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",13,t,commercial_wealthy,#A8C84A,tw_1776_01M08HMQZRTW2B9JSPP6KWH04A,\N
53,\N,\N,0106000020110F000001000000010300000001000000070000000000B447316D5FC1000060209EF4524100006D80326D5FC10000B8449FF4524100002400336D5FC1000018BC9FF4524100009F5C306D5FC10000204EA2F452410000F8B02E6D5FC10000C899A0F4524100001441316D5FC10000381A9EF452410000B447316D5FC1000060209EF45241,commercial_wealthy,\N,\N,\N,\N,period_defaults_v2_stokes,\N,92 Liberty Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",92,t,commercial_middle,#D4AF37,tw_1776_01M08HMQZRG2286NN88JN0B15S,\N
55,\N,\N,0106000020110F000001000000010300000001000000070000000000BE1D2B6D5FC10000F0F821F55241000027702C6D5FC10000E8D522F552410000EE2D2D6D5FC10000D85123F55241000007722A6D5FC10000888127F55241000057B4296D5FC10000A80527F552410000E561286D5FC10000B02826F552410000BE1D2B6D5FC10000F0F821F55241,residential_poor,\N,\N,\N,\N,period_defaults_v2_stokes,\N,30 Ann Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",30,t,residential_middle,#8B5E3C,tw_1776_01M08HMQZRA19JMDRK5AMA4YPY,\N
79,\N,\N,0106000020110F0000010000000103000000010000000B0000000000CF20136D5FC1000028736CF552410000BA0E146D5FC10000103D6DF55241000062A3146D5FC1000040BB6DF55241000058C1106D5FC10000384E72F552410000D32C106D5FC1000028D071F552410000F13E0F6D5FC10000480671F5524100001E520E6D5FC10000483D70F5524100004E950D6D5FC10000089D6FF5524100003377116D5FC10000F8096BF5524100000034126D5FC1000030AA6BF552410000CF20136D5FC1000028736CF55241,residential_poor,\N,\N,\N,\N,period_defaults_v1,\N,15 Frankfort Street,2,wood_frame,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",15,t,residential_poor,#8B5E3C,tw_1776_01M08HMQZR9QSWDXH8F5JCKJ48,\N
81,\N,,0106000020110F000001000000010300000001000000070000000000D83F0B6D5FC10000B0ADCDF4524100007F980C6D5FC10000B888CCF452410000A50A0D6D5FC10000C82ACCF4524100002C38106D5FC100000007D0F452410000C9CD0F6D5FC10000905ED0F452410000077D0E6D5FC10000D87CD1F452410000D83F0B6D5FC10000B0ADCDF45241,commercial_middle,\N,\N,\N,\N,period_defaults_v1; 1786_NYC_Directory,\N,75 Water Street,2,wood_frame,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 178 Water Street. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",75,t,residential_poor,#E8871A,tw_1776_01M08HMQZRCP81R2B96AZ23F79,\N
82,\N,Hele Mrs.,0106000020110F0000010000000103000000010000000700000000002AF9C76D5FC1000008FA3BF552410000366BC96D5FC10000E8C43CF552410000140ACA6D5FC10000F81B3DF552410000E627C76D5FC10000F85E42F552410000E488C66D5FC10000D00742F552410000FA16C56D5FC10000083D41F5524100002AF9C76D5FC1000008FA3BF55241,residential_middle,\N,\N,\N,\N,great_fire_spatial_analysis; 1786_NYC_Directory,\N,33 Cortland Street/ Maiden Lane,2,wood_clapboard,gabled,destroyed_1776_great_fire,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 10 Cortland Street/ Maiden Lane. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",33,t,residential_middle,#A8C84A,tw_1776_01M08HMQZRQX17E4063VQ9VRN5,\N
83,\N,\N,0106000020110F000001000000010300000001000000050000000000A88FE76C5FC1000038F72EF5524100008387E66C5FC10000A8E82FF552410000BBD4E36C5FC10000C0F42CF552410000DEDCE46C5FC1000050032CF552410000A88FE76C5FC1000038F72EF55241,residential_middle,\N,\N,\N,\N,period_defaults_v2_stokes,\N,20 Jacob Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",20,t,residential_middle,#A8C84A,tw_1776_01M08HMQZRV1HHEQTTAVVBTV24,\N
84,\N,\N,0106000020110F0000010000000103000000010000000900000000003AD3C16D5FC1000028C617F552410000066EC36D5FC1000080D118F552410000BCE7C36D5FC10000482119F552410000BC9DC06D5FC10000F0251EF5524100001226C06D5FC1000080D71DF552410000628DBE6D5FC1000088CD1CF552410000065FBD6D5FC10000B8081CF552410000F6A4C06D5FC10000700117F5524100003AD3C16D5FC1000028C617F55241,residential_wealthy,\N,\N,\N,\N,period_defaults_v1,\N,55 Liberty Street,3,brick,hip,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",55,t,commercial_wealthy,#2ECC71,tw_1776_01M08HMQZR12PXFH36E3FH2EPV,\N
86,\N,Merritt William,0106000020110F0000010000000103000000010000000B000000000052B97B6D5FC10000E80391F45241000020787A6D5FC10000E81390F4524100001A9C796D5FC10000786F8FF4524100004A9A7C6D5FC10000206E8BF4524100005A767D6D5FC1000098128CF4524100007AB77E6D5FC1000088028DF4524100008AF67F6D5FC10000E8F08DF452410000DC0A816D5FC1000028BF8EF4524100000E0D7E6D5FC10000D0C092F452410000A6F87C6D5FC1000080F291F45241000052B97B6D5FC10000E80391F45241,commercial_wealthy,\N,\N,\N,\N,period_defaults_v1; 1786_NYC_Directory,\N,40 Wall Street,3,stone,hip,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 50 Wall Street. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",40,t,government,#D4AF37,tw_1776_01M08HMQZRG1HQQGR7P20CC9GF,\N
87,\N,\N,0106000020110F0000010000000103000000010000000900000000009A756E6D5FC1000018FDCFF45241000092686D6D5FC10000E02CCFF452410000D8026D6D5FC1000030DECEF452410000124B716D5FC100009854C9F4524100002CB1716D5FC1000090A3C9F45241000058BE726D5FC10000E873CAF452410000486F736D5FC10000D0FCCAF4524100007E266F6D5FC10000F885D0F4524100009A756E6D5FC1000018FDCFF45241,residential_middle,\N,\N,\N,\N,period_defaults_v2_stokes,\N,30 Liberty Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",30,t,residential_middle,#A8C84A,tw_1776_01M08HMQZRP2MEGDT0JCJS82NK,\N
90,\N,\N,0106000020110F0000010000000103000000010000000700000000008CCABA6D5FC1000038F068F552410000664DB96D5FC10000D03E68F5524100009AB3B86D5FC1000038F767F552410000D63BBB6D5FC10000B88662F552410000A2D5BB6D5FC1000050CE62F552410000C852BD6D5FC10000B87F63F5524100008CCABA6D5FC1000038F068F55241,residential_middle,\N,\N,\N,\N,great_fire_spatial_analysis,\N,51 Fulton Street / Partition Street - Fair Street,2,wood_clapboard,gabled,destroyed_1776_great_fire,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",51,t,residential_middle,#A8C84A,tw_1776_01M08HMQZRF7MNSX2BTWTXYFRQ,\N
94,\N,\N,0106000020110F000001000000010300000001000000050000000000EB3C346D5FC10000D0F78DF452410000EE8F356D5FC1000038C18CF452410000C096376D5FC1000078F78EF452410000BC43366D5FC10000102E90F452410000EB3C346D5FC10000D0F78DF45241,docks,\N,\N,\N,\N,period_defaults_v1,\N,17 Major Alley,1,wood_frame,shed,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",17,t,docks,#4A90D9,tw_1776_01M08HMQZR1HSKFW2G3N43NQQ5,\N
95,\N,Deremur Nicholas,0106000020110F000001000000010300000001000000070000000000CE67AC6D5FC10000D011F0F452410000BCF1AA6D5FC10000A8CCEEF4524100006A62AA6D5FC100001050EEF45241000006AAAD6D5FC10000E889EAF4524100007C39AE6D5FC10000A006EBF45241000068AFAF6D5FC10000A84BECF452410000CE67AC6D5FC10000D011F0F45241,residential_wealthy,\N,\N,\N,\N,period_defaults_v1; 1786_NYC_Directory,\N,4 Cedar Street / Little Queen - Queen Street,3,brick,gambrel,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 85 Cedar Street / Little Queen - Queen Street. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",4,t,residential_wealthy,#2ECC71,tw_1776_01M08HMQZRKKZ8SMZBXX1WCZ7K,\N
