id,owner,name,building_type,built_date,built_date_confidence_pct,replaced_date,replaced_date_confidence_pct,fire (y/n),timewalk_notes,source,geom,timewalk_id,live_model_id
11,Trinity Church Parish,St George's Church,Religious,1752-07-01,75,1813-01-01,70,N,\N,\N,0106000020110F00000100000001030000000100000005000000C17E9A30016D5FC10C0190B10DF552410E97F682FA6C5FC13DC7EE7B15F55241C9CB81C0F66C5FC12534295512F5524108CE9197FD6C5FC10E65396C0AF55241C17E9A30016D5FC10C0190B10DF55241,\N,\N
12,Trinity Church Parish,St Paul Chapel,Religious,1766-10-30,95,\N,100,N,\N,\N,0106000020110F000001000000010300000001000000090000007D08359F8A6D5FC15DDB23FB5EF55241B2388AE68E6D5FC1A61F2A8258F55241622ADCD2996D5FC1DE93389E5FF552417FAAF366986D5FC1D163E8CA61F55241E7668C2C9A6D5FC1A9399FED62F552415B901AD0986D5FC17624E3EA64F55241BF38101D976D5FC19F4E2CC863F55241FA5F159E956D5FC104D3CE0366F552417D08359F8A6D5FC15DDB23FB5EF55241,\N,\N
13,Reformed Protestant Dutch Church of New York,Garden Street Church,Religious,1693-05-01,60,1776-09-21,95,Y,\N,\N,0106000020110F0000010000000103000000010000000500000057C1C4ECB56D5FC1F95C2E82A1F45241BDA1E8AAB36D5FC187FB2D07A6F452413ADC0D8CAE6D5FC1BE78A071A3F45241DC8EBBD2B06D5FC162670FEF9EF4524157C1C4ECB56D5FC1F95C2E82A1F45241,\N,\N
14,Reformed Protestant Dutch Church of New York,Middle Dutch Church,Religious,1729-10-21,90,1882-12-25,70,N,\N,\N,0106000020110F00000100000001030000000100000005000000FCD0E4CA996D5FC181C94BDDEAF452417706038B956D5FC1D4DDADE8F0F45241B50FA789916D5FC165306AECEDF45241B08AD412966D5FC13A4198C6E7F45241FCD0E4CA996D5FC181C94BDDEAF45241,\N,\N
15,Reformed Protestant Church of New York,North Dutch Church,Religious,1769-05-01,70,1875-12-31,80,N,\N,\N,0106000020110F000001000000010300000001000000050000007AA9DE624D6D5FC1E25757012BF55241ED7CB0554A6D5FC1EDB749642FF5524111788AE3426D5FC1068845362AF55241117C9E05466D5FC146C248B525F552417AA9DE624D6D5FC1E25757012BF55241,\N,\N
16,Scotch Presbyterian Congregation,Wall Street Church,Religious,1767-10-01,60,1776-09-21,90,Y,\N,\N,0106000020110F0000010000000103000000010000000500000064E4507DC46D5FC16D8D8F59DFF4524159845E1AC06D5FC1C936C327DCF4524116A154C4C46D5FC1530F4BC0D5F45241E55D50EDC86D5FC1AF2403D8D8F4524164E4507DC46D5FC16D8D8F59DFF45241,\N,\N
17,Brick Presbyterian Church congregation,Brick Church,Religious,1769-01-01,95,1856-12-01,70,N,"The Brick Church was one of New York’s most distinguished colonial-era churches, designed in a Georgian style and notable for its red brick construction. It symbolized the strength and stability of the Presbyterian community, which was growing in influ",\N,0106000020110F00000100000001030000000100000005000000A5CDA17A4B6D5FC12F1ABEFC67F55241F0E5AE78456D5FC14D0C926B6BF5524190267475426D5FC1088942D567F55241C8C1EB60476D5FC15CD7F86863F55241A5CDA17A4B6D5FC12F1ABEFC67F55241,\N,\N
18,Old Lutheran Congregation,Old Lutherean Church,Religious,1741-10-01,60,1776-09-21,95,Y,\N,\N,0106000020110F00000100000001030000000100000005000000F6E9F9D5E46D5FC1CD0B1A7ED1F452410DF8C5B3E76D5FC179474484CDF452415989C191EC6D5FC172F4C02AD1F4524143A6D2A3E96D5FC13A23AA12D5F45241F6E9F9D5E46D5FC1CD0B1A7ED1F45241,\N,\N
19,Trinity (New) Lutheran Congregation,New Lutherean Church,Religious,1729-06-01,70,1776-09-21,95,Y,\N,\N,0106000020110F0000010000000103000000010000000500000090AFC143006D5FC1241C2A2B6AF5524190AFC143006D5FC1337E920567F55241F11EB5E4076D5FC179FD27AF63F55241A3D7E9F0076D5FC177FC6C7367F5524190AFC143006D5FC1241C2A2B6AF55241,\N,\N
20,French Protestant congregation of Saint-Espirit,French Church,Religious,1704-11-01,70,1831-02-15,80,N,\N,\N,0106000020110F0000010000000103000000010000000500000072E7088AA06D5FC17EA70886DBF45241C12F8FB99C6D5FC1BA5DADA9D8F45241F089EDBE9F6D5FC17AE584A2D4F45241467B8C8EA36D5FC1D47B8179D7F4524172E7088AA06D5FC17EA70886DBF45241,\N,\N
21,German Reformed Church of New York,German Reformed Church,Religious,1758-11-01,60,1776-09-21,95,Y,\N,\N,0106000020110F00000100000001030000000100000005000000A5961186816D5FC160B4F86012F55241916D2E9D7D6D5FC1B0FC7E900EF552411D10DA10806D5FC1E142220D0CF55241BF56A3F3836D5FC16130A8D70FF55241A5961186816D5FC160B4F86012F55241,\N,\N
22,Moravian Congregation of New York,Moravian Church,Religious,1758-05-01,55,1776-09-21,80,Y,\N,\N,0106000020110F00000100000001030000000100000005000000B95677C6536D5FC12B41A6091FF55241A72D94DD4F6D5FC1710C9A3F1CF5524123E0AF69536D5FC1A1ADB24617F5524127AC9E7E576D5FC19A162B301AF55241B95677C6536D5FC12B41A6091FF55241,\N,\N
23,First Presbyterian Church of New York,Presbyterian Church,Religious,1719-01-01,60,1776-09-21,90,Y,\N,\N,0106000020110F00000100000001030000000100000005000000477240BBB46D5FC1132538E0F3F45241F5EBC835B06D5FC1CFE71262F0F45241C87861DDB26D5FC185B00172ECF452410BBC9B97B76D5FC11FEFE3A1EFF45241477240BBB46D5FC1132538E0F3F45241,\N,\N
24,First Baptist church of New York,Babtist Church,Religious,1753-05-06,45,1776-09-21,95,Y,"The Gold Street Baptist Church was the first permanent home for New York’s Baptists, who had begun meeting in private houses as early as the 1740s. Its construction in 1753 reflected both the growth of religious pluralism and the persistence of dissent",\N,0106000020110F00000100000001030000000100000005000000D45543E43E6D5FC1108C437B05F5524193D823B23A6D5FC18D2806F401F55241C7ACBF163F6D5FC157CBA6BAFCF452418493852F436D5FC18E07932C00F55241D45543E43E6D5FC1108C437B05F55241,\N,\N
25,John Street Methodist Society,Methodist Church,Religious,1768-10-30,95,1817-05-01,70,N,\N,\N,0106000020110F0000010000000103000000010000000500000037300A0F756D5FC1EF6FDB9311F5524174285CC0716D5FC130A956D60EF55241DF353D09766D5FC14373D14B09F552411F4C0756796D5FC1C186F8FF0BF5524137300A0F756D5FC1EF6FDB9311F55241,\N,\N
26,\N,Friends Meeting,Culture,\N,\N,\N,\N,\N,\N,\N,0106000020110F00000100000001030000000100000005000000F87DEE00A36C5FC1392733BC40F552416301EF2F996C5FC1F66ADF8B39F5524164CB29239C6C5FC137BD141836F55241A69DABB8A56C5FC1305FFD713DF55241F87DEE00A36C5FC1392733BC40F55241,\N,\N
27,Religious Society of Friends (Quakers),Friends Meeting,Culture,1745-05-01,40,1820-09-01,30,N,\N,\N,0106000020110F00000100000001030000000100000005000000DACC8F4BA66D5FC1C258FD2810F55241E26DC1B4A06D5FC155BC49E50CF55241FD46ED41A26D5FC10FE74C430AF552414B3F0EE0A76D5FC117E7C4920DF55241DACC8F4BA66D5FC1C258FD2810F55241,\N,\N
28,Congregation Shearith Israel,Mill Street Synagoge,Religious,1730-04-08,85,1818-06-01,75,N,\N,\N,0106000020110F00000100000001030000000100000005000000E3362BE1B86D5FC1F73F5E156BF45241C5725A2CBF6D5FC1BF2231466BF45241C5725A2CBF6D5FC1B1C0C86B6EF45241E3362BE1B86D5FC1B1C0C86B6EF45241E3362BE1B86D5FC1F73F5E156BF45241,\N,\N
29,Company of Comedians (Lewis Hallam Jr. and David Douglass),Theatre,Culture,1767-12-07,95,1798-01-01,80,N,\N,\N,0106000020110F00000100000001030000000100000005000000F0AF408A8B6D5FC1A9A2AF6F33F55241172B2CEB876D5FC1465A8C9738F55241407B2F50846D5FC190EBADD535F5524121370FFF876D5FC13575EE9930F55241F0AF408A8B6D5FC1A9A2AF6F33F55241,\N,\N
30,Corporation of the City of New York,Old Slip Market,Commercial,1732-05-01,55,1822-10-01,70,N,\N,\N,0106000020110F0000010000000103000000010000000500000039D8867B926D5FC1415875D468F45241F56ABDE78B6D5FC1AC73CC7760F45241CA0B908A8D6D5FC10B4CE4F25EF45241E0DD5E49946D5FC194779A2767F4524139D8867B926D5FC1415875D468F45241,\N,\N
31,Corporation of the City of New York,Fly Market,Commercial,1699-07-01,45,1823-01-01,70,N,\N,\N,0106000020110F00000100000001030000000100000005000000359347DC4B6D5FC1CA36C791B4F45241C3FB2B8E3C6D5FC178923AEEA4F4524178C722CC3E6D5FC17A9483BCA2F452415A47E40D4E6D5FC1B12C7153B2F45241359347DC4B6D5FC1CA36C791B4F45241,\N,\N
32,Corporation of the City of New York,Peck Slip Market,Commercial,1770-07-01,60,1823-05-01,70,N,\N,\N,0106000020110F0000010000000103000000010000000500000052DDB83FCE6C5FC18B27C8C8F6F4524176F75A4BCA6C5FC196E099CFF1F45241D12CC671CC6C5FC180D8CB5BF0F4524161D622F7CF6C5FC1D6D6D6A3F5F4524152DDB83FCE6C5FC18B27C8C8F6F45241,\N,\N
33,N/A,Osego Market,Commercial,1765-06-01,40,1785-09-01,30,N,\N,\N,0106000020110F00000100000001030000000100000005000000BFC1E96BB46D5FC160C7D1FB19F55241EE16E1F0B06D5FC1A8DE23BE17F55241530EF0B7B86D5FC17F22A5A90BF5524141F7E97DBC6D5FC1B32F93170EF55241BFC1E96BB46D5FC160C7D1FB19F55241,\N,\N
34,Corporation of the City of New York,Bear Market,Municipal,1749-07-01,40,1813-03-15,40,N,"The Bear Market was New York’s first market on the Hudson River side, established in the 1740s to serve the growing westward expansion of the city. It was named for its early trade in bear meat, though it quickly became a more general market for fish,",\N,0106000020110F0000010000000103000000010000000500000082A0FA1FDE6D5FC1C79869B995F552416B822A3DDB6D5FC1EBFD791295F55241C86EAA17DF6D5FC186C4A03082F55241C2F5A4FDE16D5FC1755D0DC882F5524182A0FA1FDE6D5FC1C79869B995F55241,\N,\N
35,Bayard family,Bayards Sugar House,Commercial,1754-09-01,50,1840-10-01,30,N,"Bayard’s Sugar House was a massive and grimly famous edifice of colonial commerce. As one of the major sugar refineries it connected New York to West Indian plantation economies. During British occupation, it was converted into a prison where prisoners",\N,0106000020110F00000100000001030000000100000005000000B6D62791A26D5FC10044F95FCEF452417F1F22DA9D6D5FC156C5E0B0CAF452413F31924CA36D5FC128C0476BC4F452416F3F2ECFA76D5FC1F83879F6C7F45241B6D62791A26D5FC10044F95FCEF45241,\N,\N
36,Seaman Family,Seaman's Sugar House,Commercial,1750-06-01,50,1840-05-01,60,N,\N,\N,0106000020110F0000010000000103000000010000000500000078D6A566916D5FC12C514C7CECF4524127EFE7198E6D5FC1110F1746E9F4524185939D69916D5FC17CAA0859E5F45241AC4C56AC946D5FC16F306D46E8F4524178D6A566916D5FC12C514C7CECF45241,\N,\N
37,Courtlandt family,Courtlandt's Sugar House,Commercial,1763-10-01,45,1850-06-01,40,N,"One of the handful of sugar refineries that defined New York’s colonial waterfront, Courtlandt’s Sugar House reflected the city’s role in the Atlantic economy of sugar and slavery. Like Bayard’s and Rhinelander’s, it was a hulking stone warehou",\N,0106000020110F00000100000001030000000100000005000000BE2A6714E66D5FC17BF362A803F5524138844DC5E36D5FC1FE919E2908F5524150E4ED6BDF6D5FC1FB4056A605F552416683A9BDE16D5FC196B6782101F55241BE2A6714E66D5FC17BF362A803F55241,\N,\N
38,Rhinelander Family,Rhinelander Sugar House,Commercial,1763-10-01,60,1892-05-01,95,N,\N,\N,0106000020110F00000100000001030000000100000005000000AEA49A86DE6C5FC1DD2ED7E573F552416AD6ED36DD6C5FC157DBD8A870F5524115B56A1BE16C5FC1A27F46356FF552417167C653E26C5FC12398F67A72F55241AEA49A86DE6C5FC1DD2ED7E573F55241,\N,\N
39,Roosevelt Family,Roosevelt's Sugar House,Commercial,1763-10-01,50,1839-08-01,70,N,\N,\N,0106000020110F00000100000001030000000100000005000000B7412AA9E66C5FC1F717B9D724F552415BB3F142E36C5FC147F8261828F55241F41A3E7BDB6C5FC1FAD09B6021F55241626222ABDE6C5FC1E6238C931DF55241B7412AA9E66C5FC1F717B9D724F55241,\N,\N
40,Rutgers Family,Rutger's Brewery,Industrial,1711-05-01,60,1776-09-21,80,Y,\N,\N,0106000020110F000001000000010300000001000000050000000F825D5F556D5FC138AC9B1EDCF45241383D2254586D5FC160395D59D5F45241FEEAC02F5C6D5FC17A159408D7F45241B2D85153596D5FC1349A1696DDF452410F825D5F556D5FC138AC9B1EDCF45241,\N,\N
41,John Eden,Edens Brewery,Industrial,1765-05-01,40,1776-09-21,80,Y,\N,\N,0106000020110F00000100000001030000000100000005000000FCBDB397326D5FC1586E5835F6F452415ED8BB562F6D5FC1B2E2CA7CF2F45241D7AE2254316D5FC117C2DD58F0F452413223AD91346D5FC1C0147C66F4F45241FCBDB397326D5FC1586E5835F6F45241,\N,\N
42,\N,Fire Ended,Heritage Sites,\N,\N,\N,\N,\N,\N,\N,0106000020110F00000100000001030000000100000005000000311F05E0D76D5FC125515990ADF552418E3730B5D86D5FC115A7FF31AEF552410CE030A2D76D5FC128E2EDFBB3F552416BD21EB7D66D5FC16ED24ED0B3F55241311F05E0D76D5FC125515990ADF55241,\N,\N
43,City of New York (Royal Decree),Statue George III,Public Spaces,1770-08-21,95,1776-07-09,95,N,\N,\N,0106000020110F000001000000010300000001000000050000000139C3D50E6E5FC13A2364EF7AF45241AF52105B0B6E5FC17AB180A579F45241A0CD55F50C6E5FC1BF18C55175F45241468BCF6C106E5FC136ED769A76F452410139C3D50E6E5FC13A2364EF7AF45241,\N,\N
44,Archibald Kennedy,Kennedy's House,Heritage Sites,1760-05-01,50,1836-07-01,60,N,\N,\N,0106000020110F00000100000001030000000100000005000000000020DC246E5FC1000090F778F4524100002E4C216E5FC10000987C77F452410000F233226E5FC10000189075F452410000B8BE256E5FC1000048D676F45241000020DC246E5FC1000090F778F45241,\N,\N
45,Verplanck Family,Verplanck House,Heritage Sites,1740-05-01,50,1776-09-21,85,Y,\N,\N,0106000020110F00000100000001030000000100000005000000E5BD3728AD6D5FC166C4A9C5C5F452419B467C10AA6D5FC133052519C3F452411DE1F68CAE6D5FC1E8E698F8BDF45241715E52BBB16D5FC165FD1B9EC0F45241E5BD3728AD6D5FC166C4A9C5C5F45241,\N,\N
46,John Rutherford,Rutherford's House,Heritage Sites,1765-05-01,40,1776-09-21,85,Y,\N,\N,0106000020110F00000100000001030000000100000005000000729B1100856D5FC18E06340B67F5524162F17617896D5FC1D427BEA769F552413C8655FD866D5FC177E8B8C76CF55241FB5DE0E3826D5FC14CFECC3F6AF55241729B1100856D5FC18E06340B67F55241,\N,\N
47,Col. William Axtell,Axtel House,Heritage Sites,1763-06-01,40,1776-09-21,95,Y,"The Axtel House was one of the most prominent private residences near the Commons, belonging to Col. William Axtell, a wealthy Jamaican-born planter and a leading Loyalist in New York. His house represented the fusion of mercantile wealth and imperial po",\N,0106000020110F000001000000010300000001000000050000003C8655FD866D5FC177E8B8C76CF55241421B34E3846D5FC15D46F3BD6FF55241589513E7806D5FC118FB7E606DF55241FB5DE0E3826D5FC14CFECC3F6AF552413C8655FD866D5FC177E8B8C76CF55241,\N,\N
48,Rufus King,Rufu's King's House,Heritage Sites,1774-06-01,50,1795-09-01,40,N,\N,\N,0106000020110F00000100000001030000000100000005000000E3F5D9D87E6D5FC11212419070F552412E14E6A1826D5FC13F502DE672F55241F4293065806D5FC1F2F3B65876F552418C2264A77C6D5FC1AE19C8F573F55241E3F5D9D87E6D5FC11212419070F55241,\N,\N
49,Richard Harrison,Richard Harrison's House,Heritage Sites,1760-05-01,50,1827-07-01,60,N,\N,\N,0106000020110F000001000000010300000001000000050000005B4A6C937C6D5FC16645371D7BF55241B2A0126B796D5FC12A5C0F3F79F55241C289B2E57A6D5FC1444D231077F55241984ECEED7D6D5FC14A88E31D79F552415B4A6C937C6D5FC16645371D7BF55241,\N,\N
50,Walter Franklin,Walter Franklin's House,Heritage Sites,1763-06-01,60,1856-01-01,75,N,\N,\N,0106000020110F000001000000010300000001000000050000002DA889A2BC6C5FC1634C5CE91FF552416D36A658BB6C5FC1E94398341DF55241AC01A2D7BD6C5FC1142051041CF552413AD133E8BE6C5FC12487B6401EF552412DA889A2BC6C5FC1634C5CE91FF55241,\N,\N
51,William Walton,Walton House,Heritage Sites,1754-05-01,70,1881-09-01,80,N,\N,\N,0106000020110F00000100000001030000000100000005000000669589F7CD6C5FC15FE4F95B0AF55241F367C821CB6C5FC10048412307F55241A372AE45CE6C5FC12701D35F04F552413801F5DBD06C5FC14400695007F55241669589F7CD6C5FC15FE4F95B0AF55241,\N,\N
52,Corporation of the City of New York,Hanover Square,Public Spaces,1714-07-01,70,\N,100,N,\N,\N,0106000020110F00000100000001030000000100000006000000D092A8669F6D5FC1456B2EEB6EF45241D092A8669F6D5FC1456B2EEB6EF452411B31D9E08B6D5FC182361E6D75F45241D60C97F98B6D5FC1E8E64B5D73F452414D5E994F9A6D5FC11411677969F45241D092A8669F6D5FC1456B2EEB6EF45241,\N,\N
53,Governors/Trustees of King's College,King's College,College,1760-07-17,50,1857-06-01,70,N,"Founded by royal charter in 1754, King’s College was the intellectual heart of colonial New York. The building completed in 1760 near Park Place housed students in a rigorous Anglican-dominated curriculum. Alumni included Alexander Hamilton, John Jay,",\N,0106000020110F00000100000001030000000100000005000000AFA37DACAB6D5FC17E9CB0C5BCF5524109DC2B94996D5FC1E6CEDD39B2F552411D44B5179C6D5FC128BAA142AEF55241458D5551AE6D5FC15C4F91E3B8F55241AFA37DACAB6D5FC17E9CB0C5BCF55241,\N,\N
54,Corporation of the City of New York,Fish Market,Commercial,1730-06-01,55,1822-08-01,80,N,\N,\N,0106000020110F0000010000000103000000010000000600000079A96DA9B96D5FC1BFB223DE47F4524112F8B81CB66D5FC12E9C0E7749F452413410C859AC6D5FC1950E725039F45241CC8849EFB56D5FC1CCF859D436F4524179A96DA9B96D5FC14A91023948F4524179A96DA9B96D5FC1BFB223DE47F45241,\N,\N
59,Samuel Fraunces (from 1762); prev. Etienne DeLancey,Fraunces Tavern (Queens Head Tavern),Commercial,1719-01-01,90,\N,\N,N,"Built ca. 1719 by Etienne DeLancey. Sold to Samuel Fraunces 1762. Sons of Liberty meeting place. Washington farewell Dec 4, 1783.",Fraunces Tavern Museum; Stokes Iconography IV; Wikipedia,0106000020110F0000010000000103000000010000000500000036DE513BD16D5FC12FBCDB9D33F4524136DE513BD16D5FC1A25533A13EF4524174991851C36D5FC1A25533A13EF4524174991851C36D5FC12FBCDB9D33F4524136DE513BD16D5FC12FBCDB9D33F45241,\N,\N
60,Society of the New York Hospital,New York Hospital,Civic,1773-09-03,95,1775-02-28,90,Y,"First hospital in NY. Cornerstone Sept 3, 1773. Gutted by fire Feb 28, 1775. Used as British/Hessian barracks.",Weill Cornell Medical Library; CultureNow; Wikipedia,0106000020110F00000100000001030000000100000005000000E9EAAEE84A6D5FC1626E438BF6F55241C9BD5AC3466D5FC157191169FEF55241B44EDA8E3C6D5FC136831B75F8F55241E4DD87DF416D5FC1058BCC55F1F55241E9EAAEE84A6D5FC1626E438BF6F55241,\N,\N
63,City of New York,The Fields / The Common,Public Spaces,\N,\N,\N,\N,N,"Open commons. Liberty Pole site. Declaration read July 9, 1776. Adjacent to Bridewell, Alms House.",Stokes Iconography; Burrows & Wallace Gotham,0106000020110F000001000000010300000001000000050000003CE29426796D5FC1379042B264F55241C0754FAA576D5FC117FA4C769DF55241223830CE2A6D5FC1070195BD7EF552416E15C8F9466D5FC140AA90C476F552413CE29426796D5FC1379042B264F55241,\N,\N
65,City of New York,Brooklyn Ferry Landing (Fulton Ferry),Commercial,\N,\N,\N,\N,N,"Ferry to Brooklyn from 1630s. Washington army evacuation Aug 29, 1776.",Wikipedia; Stokes Iconography; HMDB,0106000020110F00000100000001030000000100000005000000BC3A6B86136D5FC159335F87B7F4524100001A0D166D5FC100000862BAF45241000000A0076D5FC100000040C6F45241000000F0046D5FC100000000C3F45241BC3A6B86136D5FC159335F87B7F45241,\N,\N
67,Congregation Shearith Israel,Jewish Burial Ground (Chatham Square),Heritage Sites,1683-01-01,80,\N,\N,N,First Jewish cemetery in NYC. Shearith Israel (1654). Chatham Square cemetery from 1683 — oldest surviving in US.,Shearith Israel archives; Ephemeral New York; NYC Cemetery Project,0106000020110F000001000000010300000001000000050000002D0A45445A6C5FC1170965F67BF5524140888E9F626C5FC1531B066D89F5524175BFB17F5A6C5FC186BA64E88CF5524180161B12536C5FC14AA8C3717FF552412D0A45445A6C5FC1170965F67BF55241,\N,\N
68,Van Cortlandt family,Van Cortlandt Sugar House,Commercial,\N,\N,\N,\N,N,Sugar refinery at NW corner Trinity Churchyard (Thames & Trinity Place). British prison until 1777.,Wikipedia; CultureNow; Lossing (1852); NYC Revolutionary Trail,0106000020110F0000010000000103000000010000000500000045FCE2A8086E5FC12AD26E51EDF4524116D6D626056E5FC111ED25A1F7F45241E1D060FEF46D5FC1C299C5F9EFF452411F59C6ABF96D5FC19EC8EB99E4F4524145FCE2A8086E5FC12AD26E51EDF45241,\N,\N
69,Livingston family,Livingston Sugar House,Commercial,1754-01-01,85,\N,\N,N,Six-story stone building on Crown St (Liberty St). Most notorious prison — 400-500 POWs. Window preserved at 920 Broadway.,Wikipedia; Clermont State Historic Site; Untapped Cities; NY Times (1852),0106000020110F0000010000000103000000010000000500000053F59A396B6D5FC14AFFC22401F55241C10CAE37756D5FC1ECB2AACE09F5524131EAF937716D5FC123002F0D0EF552411C1EE221676D5FC13DD84D6505F5524153F59A396B6D5FC14AFFC22401F55241,\N,\N
72,\N,Bowling Green,\N,\N,\N,\N,\N,\N,\N,\N,0106000020110F00000100000001030000000100000005000000B84EDA12186E5FC18A2BAE4070F4524195E6A1810E6E5FC1C102670684F4524128A1D120086E5FC1DEF4D6BF82F45241EBEAAE10076E5FC16A67FBE96DF45241B84EDA12186E5FC18A2BAE4070F45241,\N,\N
