id,block_id,on_plate,alignment_class,cell_class,block_coverage_class,split,negatives_allowed_in_block
708,130,True,weak_ink_support,loose_placement,partial,train,False
709,72,True,weak_ink_support,loose_placement,partial,train,False
711,27,True,weak_ink_support,loose_placement,partial,train,False
712,118,True,weak_ink_support,loose_placement,partial,train,False
716,252,True,weak_ink_support,loose_placement,exhaustive,train,True
717,29,True,weak_ink_support,loose_placement,partial,train,False
718,10,True,weak_ink_support,loose_placement,sparse,train,False
719,90,False,off_plate,off_plate,off_plate,excluded_off_plate,False
726,12,True,weak_ink_support,loose_placement,partial,train,False
727,69,True,weak_ink_support,loose_placement,sparse,train,False
751,152,True,weak_ink_support,loose_placement,exhaustive,val,True
753,44,True,weak_ink_support,loose_placement,sparse,train,False
754,88,True,weak_ink_support,loose_placement,partial,train,False
755,1,True,weak_ink_support,loose_placement,partial,val,False
756,156,True,weak_ink_support,loose_placement,partial,train,False
757,100,True,weak_ink_support,loose_placement,sparse,train,False
758,19,True,weak_ink_support,loose_placement,sparse,train,False
759,2,True,modern_proxy_suspect,traced_merged_cells,partial,train,False
760,74,True,weak_ink_support,loose_placement,sparse,train,False
762,87,True,weak_ink_support,loose_placement,partial,train,False
763,173,True,weak_ink_support,loose_placement,partial,train,False
764,130,True,weak_ink_support,traced_single_cell,partial,train,False
765,72,True,weak_ink_support,traced_merged_cells,partial,train,False
767,27,True,weak_ink_support,loose_placement,partial,train,False
768,118,True,weak_ink_support,loose_placement,partial,train,False
771,83,False,off_plate,off_plate,off_plate,excluded_off_plate,False
772,252,True,weak_ink_support,loose_placement,exhaustive,train,True
773,29,True,weak_ink_support,loose_placement,partial,train,False
774,10,True,weak_ink_support,blank_plate,sparse,train,False
782,12,True,weak_ink_support,loose_placement,partial,train,False
783,69,True,weak_ink_support,loose_placement,sparse,train,False
807,152,True,weak_ink_support,loose_placement,exhaustive,val,True
809,44,True,weak_ink_support,loose_placement,sparse,train,False
810,88,True,weak_ink_support,loose_placement,partial,train,False
811,1,True,weak_ink_support,loose_placement,partial,val,False
812,156,True,weak_ink_support,loose_placement,partial,train,False
813,100,True,weak_ink_support,loose_placement,sparse,train,False
814,19,True,weak_ink_support,loose_placement,sparse,train,False
816,74,True,weak_ink_support,loose_placement,sparse,train,False
818,87,True,weak_ink_support,loose_placement,partial,train,False
819,173,True,weak_ink_support,loose_placement,partial,train,False
820,130,True,weak_ink_support,traced_merged_cells,partial,train,False
821,72,True,weak_ink_support,loose_placement,partial,train,False
822,99,True,weak_ink_support,loose_placement,sparse,val,False
823,27,True,aligned,loose_placement,partial,train,False
824,118,True,weak_ink_support,loose_placement,partial,train,False
827,83,False,off_plate,off_plate,off_plate,excluded_off_plate,False
828,252,True,weak_ink_support,loose_placement,exhaustive,train,True
829,29,True,weak_ink_support,traced_single_cell,partial,train,False
830,10,True,weak_ink_support,blank_plate,sparse,train,False
832,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
838,12,True,weak_ink_support,loose_placement,partial,train,False
839,69,True,weak_ink_support,loose_placement,sparse,train,False
863,152,True,weak_ink_support,loose_placement,exhaustive,val,True
866,88,True,weak_ink_support,loose_placement,partial,train,False
867,1,True,weak_ink_support,loose_placement,partial,val,False
869,100,True,weak_ink_support,loose_placement,sparse,train,False
870,19,True,weak_ink_support,loose_placement,sparse,train,False
872,74,True,weak_ink_support,loose_placement,sparse,train,False
874,87,True,weak_ink_support,traced_single_cell,partial,train,False
876,130,True,weak_ink_support,loose_placement,partial,train,False
877,72,True,weak_ink_support,loose_placement,partial,train,False
878,99,True,weak_ink_support,loose_placement,sparse,val,False
879,27,True,aligned,loose_placement,partial,train,False
880,118,True,weak_ink_support,loose_placement,partial,train,False
882,13,True,weak_ink_support,loose_placement,exhaustive,train,True
883,83,False,off_plate,off_plate,off_plate,excluded_off_plate,False
884,252,True,aligned,traced_merged_cells,exhaustive,train,True
885,29,True,weak_ink_support,traced_single_cell,partial,train,False
886,10,True,weak_ink_support,loose_placement,sparse,train,False
888,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
895,69,True,weak_ink_support,loose_placement,sparse,train,False
919,152,True,weak_ink_support,loose_placement,exhaustive,val,True
922,88,True,aligned,traced_merged_cells,partial,train,False
923,1,True,weak_ink_support,loose_placement,partial,val,False
926,19,True,weak_ink_support,loose_placement,sparse,train,False
927,26,True,weak_ink_support,loose_placement,partial,train,False
928,74,True,weak_ink_support,loose_placement,sparse,train,False
930,87,True,weak_ink_support,loose_placement,partial,train,False
932,130,True,weak_ink_support,traced_single_cell,partial,train,False
933,72,True,weak_ink_support,loose_placement,partial,train,False
934,99,True,weak_ink_support,loose_placement,sparse,val,False
935,27,True,weak_ink_support,loose_placement,partial,train,False
936,118,True,weak_ink_support,loose_placement,partial,train,False
938,13,True,weak_ink_support,loose_placement,exhaustive,train,True
940,252,True,weak_ink_support,traced_merged_cells,exhaustive,train,True
941,29,True,weak_ink_support,loose_placement,partial,train,False
942,10,True,weak_ink_support,loose_placement,sparse,train,False
944,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
946,55,True,weak_ink_support,loose_placement,partial,train,False
950,60,True,aligned,traced_single_cell,partial,train,False
951,69,True,weak_ink_support,loose_placement,sparse,train,False
975,152,True,weak_ink_support,loose_placement,exhaustive,val,True
978,88,True,weak_ink_support,traced_merged_cells,partial,train,False
979,1,True,weak_ink_support,loose_placement,partial,val,False
980,162,True,weak_ink_support,loose_placement,sparse,train,False
982,19,True,weak_ink_support,loose_placement,sparse,train,False
983,26,True,weak_ink_support,loose_placement,partial,train,False
984,74,True,weak_ink_support,loose_placement,sparse,train,False
986,87,True,weak_ink_support,loose_placement,partial,train,False
987,170,True,weak_ink_support,loose_placement,partial,train,False
988,130,True,weak_ink_support,loose_placement,partial,train,False
989,72,True,weak_ink_support,loose_placement,partial,train,False
991,27,True,weak_ink_support,loose_placement,partial,train,False
992,118,True,weak_ink_support,loose_placement,partial,train,False
994,13,True,weak_ink_support,loose_placement,exhaustive,train,True
996,252,True,weak_ink_support,loose_placement,exhaustive,train,True
997,29,True,weak_ink_support,traced_merged_cells,partial,train,False
998,10,True,weak_ink_support,loose_placement,sparse,train,False
1000,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1002,55,True,weak_ink_support,loose_placement,partial,train,False
1004,33,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1006,60,True,aligned,traced_merged_cells,partial,train,False
1007,69,True,weak_ink_support,loose_placement,sparse,train,False
1031,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1034,88,True,weak_ink_support,loose_placement,partial,train,False
1035,1,True,weak_ink_support,loose_placement,partial,val,False
1037,64,True,aligned,traced_single_cell,partial,train,False
1038,19,True,weak_ink_support,loose_placement,sparse,train,False
1039,26,True,weak_ink_support,loose_placement,partial,train,False
1040,74,True,weak_ink_support,loose_placement,sparse,train,False
1042,87,True,weak_ink_support,loose_placement,partial,train,False
1043,170,True,weak_ink_support,loose_placement,partial,train,False
1044,130,True,aligned,loose_placement,partial,train,False
1045,72,True,weak_ink_support,loose_placement,partial,train,False
1047,27,True,weak_ink_support,loose_placement,partial,train,False
1048,118,True,weak_ink_support,loose_placement,partial,train,False
1050,13,True,weak_ink_support,loose_placement,exhaustive,train,True
1052,252,True,weak_ink_support,loose_placement,exhaustive,train,True
1053,29,True,weak_ink_support,loose_placement,partial,train,False
1056,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1058,55,True,aligned,loose_placement,partial,train,False
1060,33,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1062,60,True,weak_ink_support,loose_placement,partial,train,False
1063,69,True,weak_ink_support,loose_placement,sparse,train,False
1087,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1090,88,True,weak_ink_support,loose_placement,partial,train,False
1091,1,True,weak_ink_support,loose_placement,partial,val,False
1093,64,True,weak_ink_support,loose_placement,partial,train,False
1094,19,True,weak_ink_support,loose_placement,sparse,train,False
1095,26,True,weak_ink_support,loose_placement,partial,train,False
1097,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1098,87,True,weak_ink_support,traced_merged_cells,partial,train,False
1099,170,True,weak_ink_support,loose_placement,partial,train,False
1100,130,True,aligned,loose_placement,partial,train,False
1101,72,True,weak_ink_support,loose_placement,partial,train,False
1103,27,True,weak_ink_support,loose_placement,partial,train,False
1104,118,True,weak_ink_support,loose_placement,partial,train,False
1106,13,True,weak_ink_support,loose_placement,exhaustive,train,True
1108,252,True,weak_ink_support,loose_placement,exhaustive,train,True
1109,29,True,weak_ink_support,loose_placement,partial,train,False
1113,221,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1114,55,True,aligned,loose_placement,partial,train,False
1116,33,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1118,60,True,weak_ink_support,loose_placement,partial,train,False
1119,69,True,weak_ink_support,loose_placement,sparse,train,False
1143,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1146,88,True,weak_ink_support,loose_placement,partial,train,False
1147,1,True,weak_ink_support,loose_placement,partial,val,False
1149,64,True,weak_ink_support,loose_placement,partial,train,False
1150,19,True,weak_ink_support,loose_placement,sparse,train,False
1151,26,True,weak_ink_support,loose_placement,partial,train,False
1153,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1154,87,True,weak_ink_support,loose_placement,partial,train,False
1155,170,True,weak_ink_support,loose_placement,partial,train,False
1156,130,True,weak_ink_support,loose_placement,partial,train,False
1157,72,True,weak_ink_support,loose_placement,partial,train,False
1159,27,True,weak_ink_support,loose_placement,partial,train,False
1160,118,True,weak_ink_support,loose_placement,partial,train,False
1162,13,True,weak_ink_support,loose_placement,exhaustive,train,True
1163,83,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1164,252,True,weak_ink_support,loose_placement,exhaustive,train,True
1165,29,True,weak_ink_support,loose_placement,partial,train,False
1166,10,True,weak_ink_support,loose_placement,sparse,train,False
1168,255,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1169,221,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1170,55,True,aligned,loose_placement,partial,train,False
1172,33,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1173,105,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
1174,60,True,weak_ink_support,loose_placement,partial,train,False
1175,69,True,weak_ink_support,loose_placement,sparse,train,False
1199,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1202,88,True,weak_ink_support,loose_placement,partial,train,False
1203,1,True,weak_ink_support,loose_placement,partial,val,False
1204,162,True,weak_ink_support,loose_placement,sparse,train,False
1205,64,True,weak_ink_support,loose_placement,partial,train,False
1206,19,True,weak_ink_support,loose_placement,sparse,train,False
1207,26,True,weak_ink_support,loose_placement,partial,train,False
1209,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1210,87,True,weak_ink_support,loose_placement,partial,train,False
1211,170,True,weak_ink_support,loose_placement,partial,train,False
1212,130,True,weak_ink_support,loose_placement,partial,train,False
1213,72,True,weak_ink_support,loose_placement,partial,train,False
1214,99,True,weak_ink_support,loose_placement,sparse,val,False
1215,27,True,aligned,loose_placement,partial,train,False
1216,118,True,weak_ink_support,loose_placement,partial,train,False
1218,13,True,weak_ink_support,loose_placement,exhaustive,train,True
1219,83,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1220,252,True,weak_ink_support,traced_merged_cells,exhaustive,train,True
1222,10,True,weak_ink_support,loose_placement,sparse,train,False
1227,89,True,weak_ink_support,loose_placement,partial,train,False
1230,60,True,aligned,loose_placement,partial,train,False
1231,69,True,weak_ink_support,loose_placement,sparse,train,False
1255,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1259,1,True,weak_ink_support,loose_placement,partial,val,False
1260,162,True,weak_ink_support,loose_placement,sparse,train,False
1261,64,True,weak_ink_support,loose_placement,partial,train,False
1262,19,True,weak_ink_support,loose_placement,sparse,train,False
1263,26,True,weak_ink_support,loose_placement,partial,train,False
1265,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1266,87,True,weak_ink_support,loose_placement,partial,train,False
1267,170,True,weak_ink_support,loose_placement,partial,train,False
1268,130,True,weak_ink_support,loose_placement,partial,train,False
1272,118,True,weak_ink_support,loose_placement,partial,train,False
1273,67,True,weak_ink_support,loose_placement,partial,train,False
1274,13,True,weak_ink_support,loose_placement,exhaustive,train,True
1276,252,True,weak_ink_support,loose_placement,exhaustive,train,True
1278,10,True,aligned,loose_placement,sparse,train,False
1283,89,True,weak_ink_support,blank_plate,partial,train,False
1286,60,True,weak_ink_support,loose_placement,partial,train,False
1287,69,True,weak_ink_support,loose_placement,sparse,train,False
1311,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1313,44,True,weak_ink_support,loose_placement,sparse,train,False
1315,1,True,weak_ink_support,loose_placement,partial,val,False
1316,162,True,weak_ink_support,loose_placement,sparse,train,False
1317,64,True,weak_ink_support,loose_placement,partial,train,False
1318,19,True,weak_ink_support,loose_placement,sparse,train,False
1319,26,True,weak_ink_support,loose_placement,partial,train,False
1320,66,True,weak_ink_support,loose_placement,partial,train,False
1321,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1322,87,True,weak_ink_support,loose_placement,partial,train,False
1323,170,True,aligned,traced_single_cell,partial,train,False
1324,130,True,weak_ink_support,loose_placement,partial,train,False
1325,72,True,weak_ink_support,loose_placement,partial,train,False
1328,118,True,weak_ink_support,loose_placement,partial,train,False
1329,67,True,weak_ink_support,loose_placement,partial,train,False
1330,13,True,weak_ink_support,loose_placement,exhaustive,train,True
1333,29,True,weak_ink_support,loose_placement,partial,train,False
1334,10,True,aligned,loose_placement,sparse,train,False
1339,89,True,weak_ink_support,blank_plate,partial,train,False
1342,60,True,weak_ink_support,traced_merged_cells,partial,train,False
1343,69,True,weak_ink_support,loose_placement,sparse,train,False
1367,152,True,weak_ink_support,loose_placement,exhaustive,val,True
1369,44,True,weak_ink_support,loose_placement,sparse,train,False
1371,1,True,weak_ink_support,loose_placement,partial,val,False
1372,162,True,weak_ink_support,loose_placement,sparse,train,False
1373,64,True,weak_ink_support,loose_placement,partial,train,False
1374,19,True,weak_ink_support,loose_placement,sparse,train,False
1375,26,True,aligned,traced_single_cell,partial,train,False
1376,66,True,weak_ink_support,loose_placement,partial,train,False
1377,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
1378,87,True,aligned,loose_placement,partial,train,False
1379,170,True,weak_ink_support,loose_placement,partial,train,False
